speaker	emotion	ceiling	floor	corpus	key
DF	ANG	486	70	PELL	DF_ANG
DF	DIS	314	70	PELL	DF_DIS
DF	FER	351	70	PELL	DF_FER
DF	HAP	223	70	PELL	DF_HAP
DF	NEU	168	70	PELL	DF_NEU
DF	SAD	287	70	PELL	DF_SAD
DF	SUR	682	70	PELL	DF_SUR
MG	ANG	287	70	PELL	MG_ANG
MG	DIS	287	70	PELL	MG_DIS
MG	FER	324	70	PELL	MG_FER
MG	HAP	276	70	PELL	MG_HAP
MG	NEU	166	70	PELL	MG_NEU
MG	SAD	227	70	PELL	MG_SAD
MG	SUR	686	70	PELL	MG_SUR
NA	ANG	429	120	PELL	NA_ANG
NA	DIS	393	120	PELL	NA_DIS
NA	FER	456	120	PELL	NA_FER
NA	HAP	475	120	PELL	NA_HAP
NA	NEU	325	120	PELL	NA_NEU
NA	SAD	441	120	PELL	NA_SAD
NA	SUR	794	120	PELL	NA_SUR
SL	ANG	346	120	PELL	SL_ANG
SL	DIS	366	120	PELL	SL_DIS
SL	FER	441	120	PELL	SL_FER
SL	HAP	353	120	PELL	SL_HAP
SL	NEU	320	120	PELL	SL_NEU
SL	SAD	425	120	PELL	SL_SAD
SL	SUR	626	120	PELL	SL_SUR
